"symbol","date","1. open","2. high","3. low","4. close","5. volume"
"IBM","2021-08-31","139.5400","140.9400","138.9500","140.3400","4235101"
"IBM","2021-08-30","139.5000","139.8800","138.8150","138.9700","1995526"
"IBM","2021-08-27","138.7100","139.5850","138.4000","139.4100","2459643"
"IBM","2021-08-26","139.9700","140.8000","138.7100","138.7800","2498915"
"IBM","2021-08-25","139.9200","140.8000","139.4600","139.8600","2012817"
"IBM","2021-08-24","139.7800","140.2300","139.3200","139.8400","2365638"
"IBM","2021-08-23","139.6200","140.1500","138.8000","139.6200","3039587"
"IBM","2021-08-20","137.7400","139.3800","137.2700","139.1100","2657763"
"IBM","2021-08-19","138.6900","139.4500","137.2100","138.0200","4160129"
"IBM","2021-08-18","141.6700","141.9150","139.3900","139.4700","3510694"
"IBM","2021-08-17","143.0000","143.1600","141.0900","142.4200","3074078"
"IBM","2021-08-16","143.2300","143.7400","142.2300","143.5900","2786343"
"IBM","2021-08-13","142.6400","143.5800","142.4400","143.1800","1908951"
"IBM","2021-08-12","142.2600","143.1500","142.0766","143.0700","2089418"
"IBM","2021-08-11","141.7800","142.7685","141.5000","142.1300","4259952"
"IBM","2021-08-10","141.2100","141.8110","140.3400","141.3800","5299869"
"IBM","2021-08-09","142.2000","142.4950","140.9700","141.2500","4904065"
"IBM","2021-08-06","143.0000","144.3900","142.8900","144.0900","3826835"
"IBM","2021-08-05","143.0300","143.4100","142.2200","142.7700","2757389"
"IBM","2021-08-04","143.8000","144.1800","142.4700","142.7600","2830079"
"IBM","2021-08-03","141.9000","144.7000","141.6500","144.0700","4084724"
"IBM","2021-08-02","141.4500","143.0600","141.0300","141.4200","2929540"
"IBM","2021-07-30","141.5200","141.8500","140.7900","140.9600","3535555"
"IBM","2021-07-29","142.3300","142.9600","141.6000","141.9300","2657669"
"IBM","2021-07-28","143.0100","143.1000","141.6400","141.7700","2544099"
"IBM","2021-07-27","142.5300","143.6400","141.6000","142.7500","3137027"
"IBM","2021-07-26","141.3900","143.0000","141.1300","142.7700","4246266"
"IBM","2021-07-23","140.9600","141.7000","140.3300","141.3400","4474157"
"IBM","2021-07-22","141.6600","141.8100","140.4100","140.7100","3314153"
"IBM","2021-07-21","139.9700","141.3900","139.6500","141.3000","4803977"
"IBM","2021-07-20","143.0000","144.9200","138.7000","139.9700","13611675"
"IBM","2021-07-19","136.4500","138.4900","136.2089","137.9200","8582302"
"IBM","2021-07-16","141.0000","141.0000","138.5900","138.9000","4109308"
"IBM","2021-07-15","139.3200","140.4600","138.8005","140.4500","3639698"
"IBM","2021-07-14","140.7200","140.7500","138.9273","139.8200","4403752"
"IBM","2021-07-13","140.9200","140.9200","139.6300","140.2800","3164294"
"IBM","2021-07-12","141.4300","141.9599","140.1150","140.9200","3342627"
"IBM","2021-07-09","141.4500","141.9800","140.8410","141.5200","3904059"
"IBM","2021-07-08","137.7800","141.3100","137.6600","140.7400","5487425"
"IBM","2021-07-07","138.7600","140.3300","138.7600","139.8200","4059667"
"IBM","2021-07-06","139.9900","140.4200","137.1000","138.7800","8093747"
"IBM","2021-07-02","146.9100","146.9500","139.4600","140.0200","16828161"
"IBM","2021-07-01","146.9600","147.5000","146.5700","146.8400","2686289"
"IBM","2021-06-30","145.1300","146.9300","144.7100","146.5900","3245091"
"IBM","2021-06-29","145.2600","146.7400","145.1000","145.5500","2428626"
"IBM","2021-06-28","147.0100","147.3000","144.9121","145.2900","3888869"
"IBM","2021-06-25","145.3800","146.9300","144.9450","146.8400","3594218"
"IBM","2021-06-24","145.8000","146.1900","144.6900","145.4400","3609679"
